GROUP A RESULTS


MAX COVERAGE RESULTS
----------------------------------------------------------------------------------------------------------------------------------------------
| contract                                      | blackbox             | greybox              | directed_greybox     | other_directed_greybox |
| 0x89cf87c35e69a9b84f7a3e50eaf54bfc3cabc377.sol | 34.59%               | 36.84% (+6.52%)      | 39.85% (+15.22%)     | 31.83% (-7.97%)      |
| 0xe50365f5d679cb98a1dd62d6f6e58e59321bcddf.sol | 46.88%               | 49.55% (+5.71%)      | 52.23% (+11.43%)     | 39.29% (-16.19%)     |
| 0x018d7d179350f1bb9853d04982820e37cce13a92.sol | 33.94%               | 44.19% (+30.20%)     | 46.47% (+36.91%)     | 45.56% (+34.23%)     |
| 0x2e98a6804e4b6c832ed0ca876a943abd3400b224.sol | 31.56%               | 56.65% (+79.52%)     | 47.91% (+51.81%)     | 40.30% (+27.71%)     |
| 0x0f612a09ead55bb81b6534e80ed5a21bf0a27b16.sol | 45.15%               | 56.72% (+25.62%)     | 45.15% (0.00%)       | 44.40% (-1.65%)      |
| 0xb2089a7069861c8d90c8da3aacab8e9188c0c531.sol | 40.82%               | 46.94% (+15.00%)     | 48.47% (+18.75%)     | 48.98% (+20.00%)     |
| 0x115ec79f1de567ec68b7ae7eda501b406626478e.sol | 47.01%               | 52.14% (+10.91%)     | 53.85% (+14.55%)     | 45.73% (-2.73%)      |
| 0x4290563c2d7c255b5eec87f2d3bd10389f991d68.sol | 29.55%               | 30.52% (+3.30%)      | 30.52% (+3.30%)      | 30.52% (+3.30%)      |
| 0x2c4e8f2d746113d0696ce89b35f0d8bf88e0aeca.sol | 43.73%               | 50.57% (+15.65%)     | 49.81% (+13.91%)     | 48.29% (+10.43%)     |
| 0xb0ca787f8cf38f077e8201b05378da230a8b462f.sol | 28.70%               | 31.84% (+10.94%)     | 31.84% (+10.94%)     | 31.84% (+10.94%)     |
| 0x1c1c14a6b5074905ce5d367b0a7e098b58ebfd47.sol | 46.62%               | 37.50% (-19.57%)     | 59.12% (+26.81%)     | 37.84% (-18.84%)     |
| 0xdf2c7238198ad8b389666574f2d8bc411a4b7428.sol | 60.61%               | 65.80% (+8.57%)      | 65.80% (+8.57%)      | 65.80% (+8.57%)      |
| 0x34364bee11607b1963d66bca665fde93fca666a8.sol | 39.45%               | 41.74% (+5.81%)      | 43.58% (+10.47%)     | 42.20% (+6.98%)      |
| 0x8b0b3526b414ed5019049326544c07725a30da92.sol | 39.50%               | 51.68% (+30.85%)     | 53.78% (+36.17%)     | 45.38% (+14.89%)     |
| 0x867ffb5a3871b500f65bdfafe0136f9667deae06.sol | 56.34%               | 51.92% (-7.85%)      | 55.75% (-1.05%)      | 52.21% (-7.33%)      |
| 0xd2946be786f35c3cc402c29b323647abda799071.sol | 39.55%               | 45.90% (+16.04%)     | 46.27% (+16.98%)     | 52.61% (+33.02%)     |
| 0xf239fab41de78533fa974b74d7605f1e68f8772e.sol | 37.07%               | 50.78% (+36.97%)     | 54.52% (+47.06%)     | 51.71% (+39.50%)     |
| 0x088dfd01e4e279d9b9b89690dc1682c89fee1dcb.sol | 41.18%               | 49.12% (+19.29%)     | 61.76% (+50.00%)     | 35.88% (-12.86%)     |
| 0x43ee79e379e7b78d871100ed696e803e7893b644.sol | 38.86%               | 41.71% (+7.32%)      | 41.71% (+7.32%)      | 41.71% (+7.32%)      |
| 0x5a86568f9bbf7c31e30bf40f569762ca82ceb93c.sol | 36.76%               | 48.24% (+31.20%)     | 43.53% (+18.40%)     | 55.59% (+51.20%)     |
| 0x20f7a3ddf244dc9299975b4da1c39f8d5d75f05a.sol | 38.97%               | 45.22% (+16.04%)     | 42.28% (+8.49%)      | 40.81% (+4.72%)      |
| 0x816051e2203ca534c4336d8d6df71987fa3ae0bd.sol | 41.00%               | 56.90% (+38.78%)     | 46.86% (+14.29%)     | 51.46% (+25.51%)     |
| 0x9c0dc78196cccaf238607a1209e259a7dbdd2c30.sol | 52.94%               | 54.75% (+3.42%)      | 54.30% (+2.56%)      | 55.20% (+4.27%)      |
| 0x31f3d9d1bece0c033ff78fa6da60a6048f3e13c5.sol | 49.76%               | 59.33% (+19.23%)     | 58.85% (+18.27%)     | 57.42% (+15.38%)     |
| 0x7c84e62859d0715eb77d1b1c4154ecd6abb21bec.sol | 43.38%               | 50.37% (+16.10%)     | 42.65% (-1.69%)      | 45.96% (+5.93%)      |
| 0xcc7d26d8ea6281bb363c8448515f2c61f7bc19f0.sol | 50.28%               | 53.07% (+5.56%)      | 51.40% (+2.22%)      | 56.98% (+13.33%)     |
| 0x1844b21593262668b7248d0f57a220caaba46ab9.sol | 43.07%               | 42.77% (-0.68%)      | 47.79% (+10.96%)     | 42.48% (-1.37%)      |
| 0xf18432ef894ef4b2a5726f933718f5a8cf9ff831.sol | 47.27%               | 62.70% (+32.65%)     | 57.88% (+22.45%)     | 57.88% (+22.45%)     |
| 0xd6df5935cd03a768b7b9e92637a01b25e24cb709.sol | 38.00%               | 39.33% (+3.51%)      | 44.67% (+17.54%)     | 38.00% (0.00%)       |
| 0x1234567461d3f8db7496581774bd869c83d51c93.sol | 54.04%               | 52.94% (-2.04%)      | 54.41% (+0.68%)      | 60.29% (+11.56%)     |
| 0x5972b6cf589f67b362a529433c012185fbae8cfc.sol | 41.50%               | 41.50% (0.00%)       | 42.62% (+2.68%)      | 49.86% (+20.13%)     |
| 0x6bd50f3589916783b5366262d51700ee81d31b7e.sol | 36.18%               | 55.00% (+52.03%)     | 42.65% (+17.89%)     | 50.59% (+39.84%)     |
| 0xd6d62024d82b5bf4fe4a9e214991743d543f1673.sol | 37.65%               | 44.41% (+17.97%)     | 50.00% (+32.81%)     | 45.00% (+19.53%)     |
| 0x35223bc965dbd91b41ddf1f540e8c7e475853551.sol | 43.99%               | 44.26% (+0.62%)      | 49.18% (+11.80%)     | 40.98% (-6.83%)      |
| 0x029606e5ec44cad1346d6a1273a53b971fa93ad6.sol | 43.95%               | 45.74% (+4.08%)      | 42.60% (-3.06%)      | 44.84% (+2.04%)      |
| 0x1f88b2ef9ea3b29c90f559e645fc8cc2dc6f5b27.sol | 52.40%               | 56.73% (+8.26%)      | 57.21% (+9.17%)      | 57.69% (+10.09%)     |
| 0x3618516f45cd3c913f81f9987af41077932bc40d.sol | 38.91%               | 43.10% (+10.75%)     | 43.10% (+10.75%)     | 43.10% (+10.75%)     |
| 0x9d5b592b687c887a5a34df5f9207adb2c2db3aec.sol | 44.84%               | 46.02% (+2.63%)      | 44.25% (-1.32%)      | 44.84% (0.00%)       |
| 0x867ffb5a3871b500f65bdfafe0136f9667deae06.sol | 56.34%               | 51.92% (-7.85%)      | 55.75% (-1.05%)      | 52.21% (-7.33%)      |
| 0xfe4455fd433ed3ca025ec7c43cb8686ed89826cd.sol | 45.60%               | 59.93% (+31.43%)     | 46.25% (+1.43%)      | 42.02% (-7.86%)      |
| 0x90335e6f8cf5b4b3cc28217b6b2ece290439e492.sol | 40.59%               | 45.54% (+12.20%)     | 51.98% (+28.05%)     | 48.02% (+18.29%)     |
| 0xc5903fe72a9530e4382187f729ccc050d7e89fae.sol | 55.90%               | 43.33% (-22.48%)     | 55.13% (-1.38%)      | 51.79% (-7.34%)      |
| 0xb562ec0261a9cb550a5fbcb46030088f1d6a53cf.sol | 47.99%               | 45.98% (-4.19%)      | 38.51% (-19.76%)     | 33.62% (-29.94%)     |
| 0x5102791ca02fc3595398400bfe0e33d7b6c82267.sol | 52.43%               | 53.56% (+2.14%)      | 59.93% (+14.29%)     | 53.93% (+2.86%)      |
| 0x70ab487ec48b4b9571d346348da0f10737d48a54.sol | 31.17%               | 51.76% (+66.09%)     | 50.14% (+60.87%)     | 52.30% (+67.83%)     |
| 0x589891a198195061cb8ad1a75357a3b7dbadd7bc.sol | 50.33%               | 44.67% (-11.26%)     | 44.67% (-11.26%)     | 48.67% (-3.31%)      |
| 0xfe73a07fa11ba0a8480159f405d35d0b55f826e8.sol | 37.56%               | 42.64% (+13.51%)     | 42.64% (+13.51%)     | 40.10% (+6.76%)      |
| 0xf9918ce795c6cdea4875a906512bbc15a7d61abd.sol | 32.24%               | 49.67% (+54.08%)     | 51.32% (+59.18%)     | 54.28% (+68.37%)     |
| 0x1f3f677ecc58f6a1f9e2cf410df4776a8546b5de.sol | 42.42%               | 42.42% (0.00%)       | 40.22% (-5.19%)      | 37.19% (-12.34%)     |
| 0x2a3956fdced9a0f9ace46426e5cfaa0f1939247d.sol | 55.49%               | 63.11% (+13.74%)     | 60.67% (+9.34%)      | 59.45% (+7.14%)      |
| 0x4b04633ee658d83a24a91e3a1b244221800d89b4.sol | 41.63%               | 31.84% (-23.53%)     | 46.12% (+10.78%)     | 44.90% (+7.84%)      |
| 0xe2d82dc7da0e6f882e96846451f4fabcc8f90528.sol | 45.26%               | 52.11% (+15.12%)     | 57.89% (+27.91%)     | 51.05% (+12.79%)     |
| 0x12fd19dac0fab61bed5e0f09091b470c452d4d61.sol | 47.65%               | 50.34% (+5.63%)      | 43.62% (-8.45%)      | 48.32% (+1.41%)      |
| 0xa6446d655a0c34bc4f05042ee88170d056cbaf45.sol | 39.45%               | 46.48% (+17.82%)     | 45.70% (+15.84%)     | 45.70% (+15.84%)     |
| 0x6ba6f2207e343923ba692e5cae646fb0f566db8d.sol | 30.33%               | 37.44% (+23.44%)     | 38.39% (+26.56%)     | 38.86% (+28.12%)     |
| 0x7723737d529c2b42e4d218ad7e0a20354fbc7071.sol | 48.74%               | 62.31% (+27.84%)     | 61.31% (+25.77%)     | 61.31% (+25.77%)     |
| 0x5aef06ec39e98c05201ee1e54b653c372ecb9cf3.sol | 47.34%               | 53.78% (+13.61%)     | 51.82% (+9.47%)      | 50.70% (+7.10%)      |
| 0x9a9bb9b4b11bf8eccff84b58a6ccccd4058a7f0d.sol | 42.20%               | 48.84% (+15.75%)     | 51.45% (+21.92%)     | 48.84% (+15.75%)     |
| 0x0f8c45b896784a1e408526b9300519ef8660209c.sol | 41.33%               | 48.98% (+18.52%)     | 49.49% (+19.75%)     | 47.45% (+14.81%)     |
| 0xf278c1ca969095ffddded020290cf8b5c424ace2.sol | 40.91%               | 40.00% (-2.22%)      | 48.64% (+18.89%)     | 44.55% (+8.89%)      |
| 0xd2d0f85b690604c245f61513bf4679b24ed64c35.sol | 28.52%               | 39.67% (+39.08%)     | 47.54% (+66.67%)     | 45.90% (+60.92%)     |
| 0x001f0aa5da15585e5b2305dbab2bac425ea71007.sol | 48.19%               | 53.37% (+10.75%)     | 44.04% (-8.60%)      | 50.26% (+4.30%)      |
| 0x5c89736e9454200141b80c37eb28eaceca2ce8cb.sol | 38.15%               | 51.69% (+35.48%)     | 54.77% (+43.55%)     | 60.62% (+58.87%)     |
| 0x219218f117dc9348b358b8471c55a073e5e0da0b.sol | 47.30%               | 54.50% (+15.22%)     | 56.30% (+19.02%)     | 51.41% (+8.70%)      |
| 0x365542df3c8c9d096c5f0de24a0d8cf33c19c8fd.sol | 37.28%               | 47.36% (+27.03%)     | 44.84% (+20.27%)     | 52.39% (+40.54%)     |
