GROUP B RESULTS


MAX COVERAGE RESULTS
----------------------------------------------------------------------------------------------------------------------------------------------
| contract                                      | blackbox             | greybox              | directed_greybox     | other_directed_greybox |
| 0x06404399e748cd83f25ab163711f9f4d61cfd0e6.sol | 6.43%                | 6.39% (-0.57%)       | 6.45% (+0.31%)       | 6.27% (-2.50%)       |
| 0x5ab793e36070f0fac928ea15826b0c1bc5365119.sol | 5.61%                | 5.86% (+4.45%)       | 5.93% (+5.78%)       | 5.50% (-1.81%)       |
| 0x490c95be16384e1f28b9e864e98ffecfcbff386d.sol | 7.98%                | 8.31% (+4.13%)       | 8.29% (+3.90%)       | 8.28% (+3.76%)       |
| 0x0601ec5350b48fe2c3f421ea42915d16df108d27.sol | 4.34%                | 4.39% (+1.13%)       | 4.22% (-2.79%)       | 4.33% (-0.25%)       |
| 0x2c2391f793f4f81475d87fffe366458ce5380a13.sol | 5.36%                | 5.38% (+0.20%)       | 5.49% (+2.39%)       | 5.50% (+2.53%)       |
| 0x57c8d5d5b87a1580fdaf996cef674bb0d7f14c98.sol | 0.00%                | 0.00% (0.00%)        | 0.00% (0.00%)        | 0.00% (0.00%)        |
| 0x0f00f1696218eaefa2d2330df3d6d1f94813b38f.sol | 5.96%                | 6.30% (+5.69%)       | 6.01% (+0.80%)       | 6.27% (+5.22%)       |
| 0x59de2a5c00c7ee1c9cc823146cd18580fc5ff7b5.sol | 8.67%                | 8.54% (-1.45%)       | 8.36% (-3.59%)       | 8.61% (-0.73%)       |
| 0x9ede87077078aee6eaaa96cbee47726a85c7c161.sol | 7.72%                | 7.58% (-1.77%)       | 7.86% (+1.79%)       | 7.53% (-2.50%)       |
| 0xccda5213d453388fb5fb43054bc261c8636b1e51.sol | 4.50%                | 5.11% (+13.56%)      | 4.56% (+1.31%)       | 4.47% (-0.56%)       |
| 0x9884d4e9b305ad015168e9d6e4400582dce2cd59.sol | 4.97%                | 4.71% (-5.20%)       | 4.61% (-7.32%)       | 4.56% (-8.32%)       |
| 0xb3775fb83f7d12a36e0475abdd1fca35c091efbe.sol | 6.96%                | 6.94% (-0.33%)       | 6.96% (+0.07%)       | 7.10% (+1.97%)       |
| 0x6851a80b7655e36e1f04e383b5946dafe9c63ab2.sol | 5.54%                | 5.57% (+0.61%)       | 5.57% (+0.56%)       | 5.78% (+4.29%)       |
| 0x1afafc35b364595f06e89a0429c5762452eb7ffd.sol | 5.29%                | 5.24% (-1.02%)       | 5.09% (-3.91%)       | 5.63% (+6.36%)       |
| 0x957c30ab0426e0c93cd8241e2c60392d08c6ac8e.sol | 5.26%                | 5.03% (-4.21%)       | 4.93% (-6.13%)       | 5.34% (+1.59%)       |
| 0xa38fcedd23de2191dc27f9a0240ac170be0a14fe.sol | 5.23%                | 5.10% (-2.43%)       | 5.02% (-4.09%)       | 4.96% (-5.11%)       |
| 0xefcec6d87e3ce625c90865a49f2b7482963d73fe.sol | 4.73%                | 5.14% (+8.87%)       | 5.03% (+6.38%)       | 4.61% (-2.49%)       |
| 0x999d332eee57452cf07bceec365fd35ba5c142cb.sol | 6.78%                | 6.73% (-0.73%)       | 6.83% (+0.80%)       | 7.13% (+5.10%)       |
| 0xcdf7cfc9f7c129a0d7aec376bc205ab87fc878e1.sol | 6.05%                | 6.28% (+3.80%)       | 6.13% (+1.23%)       | 6.36% (+5.08%)       |
| 0xabefec93451a2cd5d864ff7b0b1604dfc60e9688.sol | 7.01%                | 6.84% (-2.43%)       | 6.86% (-2.17%)       | 6.84% (-2.41%)       |
----------------------------------------------------------------------------------------------------------------------------------------------
| AVERAGE                                       | 5.52%                | 5.57% (+0.85%)       | 5.57% (+0.84%)       | 5.58% (+1.00%)       |
----------------------------------------------------------------------------------------------------------------------------------------------


DETAILED CRITICAL INSTRUCTIONS HITS RESULTS
----------------------------------------------------------------------------------------------------------------------------------------------
| instruction                                   | blackbox             | greybox              | directed_greybox     | other_directed_greybox |
----------------------------------------------------------------------------------------------------------------------------------------------
| CALL                                          | 3.94                 | 3.64 (-7.81%)        | 3.51 (-10.95%)       | 3.78 (-4.29%)        |
| SELFDESCTRUCT                                 | 0.00                 | 0.00 (0.00%)         | 0.00 (0.00%)         | 0.00 (0.00%)         |
| CALLCODE                                      | 0.00                 | 0.00 (0.00%)         | 0.00 (0.00%)         | 0.00 (0.00%)         |
| DELEGATECALL                                  | 0.00                 | 0.00 (0.00%)         | 0.00 (0.00%)         | 0.00 (0.00%)         |
----------------------------------------------------------------------------------------------------------------------------------------------
| AVERAGE                                       | 0.99                 | 0.91 (-7.81%)        | 0.88 (-10.95%)       | 0.94 (-4.29%)        |
----------------------------------------------------------------------------------------------------------------------------------------------


VULNERABILITIES RESULTS
----------------------------------------------------------------------------------------------------------------------------------------------
| vulnerability type                            | blackbox             | greybox              | directed_greybox     | other_directed_greybox |
----------------------------------------------------------------------------------------------------------------------------------------------
| delegate                                      |                    0 |                    0 |                    0 |                    0 |
| exception-disorder                            |                    0 |                    2 |                    2 |                    1 |
| gasless-send                                  |                    6 |                    8 |                    6 |                    7 |
| number-dependency                             |                    2 |                    2 |                    3 |                    2 |
| reentrancy                                    |                    1 |                    3 |                    1 |                    2 |
| timestamp-dependency                          |                   19 |                   22 |                   23 |                   21 |
----------------------------------------------------------------------------------------------------------------------------------------------
| AVERAGE                                       | 28.00                | 37.00 (+32.14%)      | 35.00 (+25.00%)      | 33.00 (+17.86%)      |
----------------------------------------------------------------------------------------------------------------------------------------------
