GROUP B RESULTS


MAX COVERAGE RESULTS
----------------------------------------------------------------------------------------------------------------------------------------------
| contract                                      | blackbox             | greybox              | directed_greybox     | other_directed_greybox |
| 0x806a6bd219f162442d992bdc4ee6eba1f2c5a707.sol | 19.01%               | 18.83% (-0.94%)      | 18.55% (-2.41%)      | 18.28% (-3.84%)      |
| 0xf29ebe930a539a60279ace72c707cba851a57707.sol | 32.11%               | 32.00% (-0.35%)      | 30.18% (-6.00%)      | 30.39% (-5.36%)      |
| 0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f.sol | 19.81%               | 20.06% (+1.27%)      | 20.06% (+1.27%)      | 19.86% (+0.25%)      |
| 0x3f2ef511aa6e75231e4deafc7a3d2ecab3741de2.sol | 16.80%               | 16.78% (-0.06%)      | 16.41% (-2.29%)      | 16.71% (-0.54%)      |
| 0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1.sol | 19.91%               | 19.72% (-0.92%)      | N/A                  | 20.14% (+1.18%)      |
| 0x39cfd754c85023648bf003bea2dd498c5612abfa.sol | 17.51%               | 17.72% (+1.24%)      | N/A                  | 17.61% (+0.62%)      |
| 0x561eac93c92360949ab1f1403323e6db345cbf31.sol | 19.37%               | 19.17% (-1.03%)      | 20.14% (+3.95%)      | 20.28% (+4.69%)      |
| 0x4b71ad9c1a84b9b643aa54fdd66e2dec96e8b152.sol | 64.33%               | 66.93% (+4.04%)      | 66.83% (+3.88%)      | 67.15% (+4.38%)      |
| 0x806a6bd219f162442d992bdc4ee6eba1f2c5a707.sol | 19.01%               | 18.83% (-0.94%)      | 18.55% (-2.41%)      | 18.28% (-3.84%)      |
| reentrancy_dao.sol                            | 43.29%               | 43.33% (+0.10%)      | 42.93% (-0.81%)      | 42.72% (-1.31%)      |
| 0x5aa88d2901c68fda244f1d0584400368d2c8e739.sol | 19.49%               | 19.27% (-1.14%)      | 19.40% (-0.47%)      | 18.93% (-2.89%)      |
| 0xdb1c55f6926e7d847ddf8678905ad871a68199d2.sol | 17.52%               | 17.87% (+1.98%)      | N/A                  | 17.69% (+0.98%)      |
| 0xb11b2fed6c9354f7aa2f658d3b4d7b31d8a13b77.sol | 19.47%               | 19.58% (+0.59%)      | 19.08% (-2.00%)      | 19.11% (-1.83%)      |
| 0xe894d54dca59cb53fe9cbc5155093605c7068220.sol | 66.13%               | 67.88% (+2.65%)      | 67.76% (+2.46%)      | 68.18% (+3.10%)      |
| 0x3f2ef511aa6e75231e4deafc7a3d2ecab3741de2.sol | 16.80%               | 16.78% (-0.06%)      | 16.41% (-2.29%)      | 16.71% (-0.54%)      |
| etherbank.sol                                 | 31.98%               | 32.26% (+0.86%)      | 31.29% (-2.17%)      | 31.70% (-0.88%)      |
| old_blockhash.sol                             | 0.00%                | 0.00% (0.00%)        | 0.00% (0.00%)        | 0.00% (0.00%)        |
| 0x78c2a1e91b52bca4130b6ed9edd9fbcfd4671c37.sol | 16.86%               | 17.53% (+3.99%)      | 17.50% (+3.80%)      | 17.29% (+2.54%)      |
| 0x39cfd754c85023648bf003bea2dd498c5612abfa.sol | 17.51%               | 17.72% (+1.24%)      | N/A                  | 17.61% (+0.62%)      |
| 0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b.sol | 16.30%               | 15.62% (-4.13%)      | 15.70% (-3.64%)      | 15.72% (-3.55%)      |
| reentrancy_cross_function.sol                 | 33.78%               | 35.01% (+3.62%)      | 35.09% (+3.86%)      | 35.09% (+3.87%)      |
| reentrancy_insecure.sol                       | 44.87%               | 45.51% (+1.43%)      | 44.85% (-0.05%)      | 45.74% (+1.95%)      |
| 0x0cbe050f75bc8f8c2d6c0d249fea125fd6e1acc9.sol | 65.29%               | 66.07% (+1.20%)      | 66.06% (+1.17%)      | 66.21% (+1.41%)      |
| 0x9d06cbafa865037a01d322d3f4222fa3e04e5488.sol | 14.77%               | 14.81% (+0.31%)      | 14.98% (+1.43%)      | 14.39% (-2.56%)      |
| 0xf2570186500a46986f3139f65afedc2afe4f445d.sol | N/A                  | 61.07% (-161.07%)    | 61.07% (-161.07%)    | N/A                  |
| 0x2972d548497286d18e92b5fa1f8f9139e5653fd2.sol | 61.00%               | 61.06% (+0.10%)      | 64.25% (+5.33%)      | 64.04% (+4.97%)      |
| 0xb7c5c5aa4d42967efe906e1b66cb8df9cebf04f7.sol | 34.80%               | 34.73% (-0.21%)      | 34.35% (-1.28%)      | 34.71% (-0.25%)      |
| 0x3e013fc32a54c4c5b6991ba539dcd0ec4355c859.sol | 19.25%               | 18.66% (-3.08%)      | 18.90% (-1.82%)      | 19.03% (-1.13%)      |
| reentrance.sol                                | 24.83%               | 24.14% (-2.78%)      | 24.30% (-2.12%)      | 24.94% (+0.45%)      |
| 0xbaa3de6504690efb064420d89e871c27065cdd52.sol | 19.14%               | 18.61% (-2.80%)      | 19.02% (-0.64%)      | 19.27% (+0.70%)      |
| lottery.sol                                   | 16.54%               | 18.35% (+10.92%)     | 13.24% (-20.00%)     | 19.12% (+15.56%)     |
| simple_dao.sol                                | 28.20%               | 28.34% (+0.51%)      | 28.40% (+0.71%)      | 28.78% (+2.04%)      |
| 0x4051334adc52057aca763453820cb0e045076ef3.sol | 66.32%               | 67.98% (+2.51%)      | 66.14% (-0.26%)      | 68.07% (+2.65%)      |
| 0xa1fceeff3acc57d257b917e30c4df661401d6431.sol | 38.30%               | 37.02% (-3.33%)      | 37.37% (-2.43%)      | 46.96% (+22.62%)     |
