AVERAGE RESULTS


TRANSACTION COUNT RESULTS
----------------------------------------------------------------------------------------------------------------------------------------------
| count                                         | blackbox             | greybox              | directed_greybox     | other_directed_greybox |
----------------------------------------------------------------------------------------------------------------------------------------------
| transaction_count                             | 1415.10              | 1460.90 (+3.24%)     | 1465.11 (+3.53%)     | 1295.51 (-8.45%)     |
----------------------------------------------------------------------------------------------------------------------------------------------


MAX COVERAGE RESULTS
----------------------------------------------------------------------------------------------------------------------------------------------
| contract                                      | blackbox             | greybox              | directed_greybox     | other_directed_greybox |
----------------------------------------------------------------------------------------------------------------------------------------------
| old_blockhash.sol                             | 0.00%                | 0.00% (0.00%)        | 0.00% (0.00%)        | 0.00% (0.00%)        |
| reentrance.sol                                | 24.57%               | 24.60% (+0.12%)      | 24.79% (+0.89%)      | 25.40% (+3.38%)      |
| reentrancy_bonus.sol                          | 33.59%               | 32.78% (-2.40%)      | 33.41% (-0.53%)      | 33.47% (-0.35%)      |
| reentrancy_cross_function.sol                 | 33.84%               | 35.14% (+3.85%)      | 34.82% (+2.90%)      | 34.47% (+1.87%)      |
| reentrancy_dao.sol                            | 43.71%               | 42.72% (-2.27%)      | 43.39% (-0.73%)      | 43.10% (-1.39%)      |
| reentrancy_insecure.sol                       | 45.60%               | 46.12% (+1.16%)      | 45.82% (+0.48%)      | 46.07% (+1.04%)      |
| reentrancy_simple.sol                         | 31.89%               | 31.61% (-0.86%)      | 31.36% (-1.64%)      | 32.05% (+0.51%)      |
| simple_dao.sol                                | 28.09%               | 28.54% (+1.62%)      | 28.77% (+2.45%)      | 28.86% (+2.74%)      |
| unchecked_return_value.sol                    | 41.56%               | 42.00% (+1.04%)      | 42.10% (+1.29%)      | 42.35% (+1.89%)      |
| smart_billions.sol                            | 6.65%                | 6.58% (-1.05%)       | 6.66% (+0.08%)       | 6.79% (+2.09%)       |
----------------------------------------------------------------------------------------------------------------------------------------------
| AVERAGE                                       | 25.49%               | 25.62% (+0.50%)      | 26.64% (+4.53%)      | 25.86% (+1.45%)      |
----------------------------------------------------------------------------------------------------------------------------------------------


DETAILED CRITICAL INSTRUCTIONS HITS RESULTS
----------------------------------------------------------------------------------------------------------------------------------------------
| instruction                                   | blackbox             | greybox              | directed_greybox     | other_directed_greybox |
----------------------------------------------------------------------------------------------------------------------------------------------
| CALL                                          | 93.53                | 607.74 (+549.80%)    | 456.92 (+388.54%)    | 160.20 (+71.28%)     |
